postal,latitude,longtitude,searchval,blk_no,road_name,building,address
824107,1.396238035,103.9080073,107D EDGEFIELD PLAINS SINGAPORE 824107,107D,EDGEFIELD PLAINS,NIL,107D EDGEFIELD PLAINS SINGAPORE 824107
821109,1.394721864,103.9098738,HDB-PUNGGOL,109A,EDGEDALE PLAINS,HDB-PUNGGOL,109A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821109
822109,1.394956962,103.9096342,HDB-PUNGGOL,109B,EDGEDALE PLAINS,HDB-PUNGGOL,109B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822109
823109,1.39517272,103.9092816,HDB-PUNGGOL,109C,EDGEDALE PLAINS,HDB-PUNGGOL,109C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823109
824109,1.395529913,103.9088596,HDB-PUNGGOL,109D,EDGEDALE PLAINS,HDB-PUNGGOL,109D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824109
821110,1.396124003,103.9092837,HDB-PUNGGOL,110A,PUNGGOL FIELD,HDB-PUNGGOL,110A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821110
822110,1.395660239,103.909627,HDB-PUNGGOL,110B,PUNGGOL FIELD,HDB-PUNGGOL,110B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822110
823110,1.395397332,103.910034,HDB-PUNGGOL,110C,PUNGGOL FIELD,HDB-PUNGGOL,110C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823110
824110,1.395000712,103.910206,HDB-PUNGGOL,110D,PUNGGOL FIELD,HDB-PUNGGOL,110D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824110
820111,1.396677886,103.9065791,111 EDGEFIELD PLAINS SINGAPORE 820111,111,EDGEFIELD PLAINS,NIL,111 EDGEFIELD PLAINS SINGAPORE 820111
820112,1.396245169,103.9070873,112 EDGEFIELD PLAINS SINGAPORE 820112,112,EDGEFIELD PLAINS,NIL,112 EDGEFIELD PLAINS SINGAPORE 820112
820114,1.395799718,103.9075556,114 EDGEFIELD PLAINS SINGAPORE 820114,114,EDGEFIELD PLAINS,NIL,114 EDGEFIELD PLAINS SINGAPORE 820114
820115,1.395128547,103.9072584,115 EDGEFIELD PLAINS SINGAPORE 820115,115,EDGEFIELD PLAINS,NIL,115 EDGEFIELD PLAINS SINGAPORE 820115
820116,1.39541568,103.9069122,116 EDGEFIELD PLAINS SINGAPORE 820116,116,EDGEFIELD PLAINS,NIL,116 EDGEFIELD PLAINS SINGAPORE 820116
820117,1.395787352,103.9066178,117 EDGEFIELD PLAINS SINGAPORE 820117,117,EDGEFIELD PLAINS,NIL,117 EDGEFIELD PLAINS SINGAPORE 820117
820118,1.396207066,103.9061471,118 EDGEFIELD PLAINS SINGAPORE 820118,118,EDGEFIELD PLAINS,NIL,118 EDGEFIELD PLAINS SINGAPORE 820118
821120,1.394512179,103.9079643,PUNGGOL EDGE,120A,EDGEDALE PLAINS,PUNGGOL EDGE,120A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821120
822120,1.394837781,103.9075847,PUNGGOL EDGE,120B,EDGEDALE PLAINS,PUNGGOL EDGE,120B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822120
821121,1.394002346,103.9086283,PUNGGOL EDGE,121A,EDGEDALE PLAINS,PUNGGOL EDGE,121A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821121
822121,1.393088703,103.9090418,PUNGGOL EDGE,121B,EDGEDALE PLAINS,PUNGGOL EDGE,121B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822121
821122,1.393509812,103.9091066,PUNGGOL EDGE,122A,EDGEDALE PLAINS,PUNGGOL EDGE,122A EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 821122
822122,1.394150091,103.909596,PUNGGOL EDGE,122B,EDGEDALE PLAINS,PUNGGOL EDGE,122B EDGEDALE PLAINS PUNGGOL EDGE SINGAPORE 822122
821126,1.39410055,103.9113562,HDB-PUNGGOL,126A,EDGEDALE PLAINS,HDB-PUNGGOL,126A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821126
822126,1.394548891,103.9111062,HDB-PUNGGOL,126B,EDGEDALE PLAINS,HDB-PUNGGOL,126B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822126
823126,1.393970531,103.9106636,HDB-PUNGGOL,126C,EDGEDALE PLAINS,HDB-PUNGGOL,126C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823126
824126,1.393783889,103.9109815,HDB-PUNGGOL,126D,EDGEDALE PLAINS,HDB-PUNGGOL,126D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824126
821128,1.393542263,103.9124285,HDB-PUNGGOL,128A,PUNGGOL FIELD WALK,HDB-PUNGGOL,128A PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 821128
822128,1.392987926,103.9128831,HDB-PUNGGOL,128B,PUNGGOL FIELD WALK,HDB-PUNGGOL,128B PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 822128
823128,1.392549137,103.9125609,HDB-PUNGGOL,128C,PUNGGOL FIELD WALK,HDB-PUNGGOL,128C PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 823128
824128,1.392967719,103.911962,HDB-PUNGGOL,128D,PUNGGOL FIELD WALK,HDB-PUNGGOL,128D PUNGGOL FIELD WALK HDB-PUNGGOL SINGAPORE 824128
828776,1.401316586,103.8968463,ECOPOLITAN,130,PUNGGOL WALK,ECOPOLITAN,130 PUNGGOL WALK ECOPOLITAN SINGAPORE 828776
828777,1.40089672,103.8967673,ECOPOLITAN,132,PUNGGOL WALK,ECOPOLITAN,132 PUNGGOL WALK ECOPOLITAN SINGAPORE 828777
820133,1.392831554,103.9106201,HDB-PUNGGOL,133,EDGEDALE PLAINS,HDB-PUNGGOL,133 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820133
828778,1.400689627,103.897008,ECOPOLITAN,134,PUNGGOL WALK,ECOPOLITAN,134 PUNGGOL WALK ECOPOLITAN SINGAPORE 828778
820135,1.392092062,103.9100225,HDB-PUNGGOL,135,EDGEDALE PLAINS,HDB-PUNGGOL,135 EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 820135
828700,1.40045552,103.8976596,ECOPOLITAN,138,PUNGGOL WALK,ECOPOLITAN,138 PUNGGOL WALK ECOPOLITAN SINGAPORE 828700
821160,1.395312099,103.9157082,160A PUNGGOL CENTRAL SINGAPORE 821160,160A,PUNGGOL CENTRAL,NIL,160A PUNGGOL CENTRAL SINGAPORE 821160
822160,1.395225289,103.9160007,160B PUNGGOL CENTRAL SINGAPORE 822160,160B,PUNGGOL CENTRAL,NIL,160B PUNGGOL CENTRAL SINGAPORE 822160
821161,1.3958161,103.9150182,HDB-PUNGGOL,161A,PUNGGOL CENTRAL,HDB-PUNGGOL,161A PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 821161
822161,1.39572273,103.915306,HDB-PUNGGOL,161B,PUNGGOL CENTRAL,HDB-PUNGGOL,161B PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 822161
821162,1.39636616,103.9142502,162A PUNGGOL CENTRAL SINGAPORE 821162,162A,PUNGGOL CENTRAL,NIL,162A PUNGGOL CENTRAL SINGAPORE 821162
822162,1.396272161,103.9145378,HDB-PUNGGOL,162B,PUNGGOL CENTRAL,HDB-PUNGGOL,162B PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 822162
821163,1.395500602,103.9140598,163A PUNGGOL CENTRAL SINGAPORE 821163,163A,PUNGGOL CENTRAL,NIL,163A PUNGGOL CENTRAL SINGAPORE 821163
822163,1.39563022,103.9137722,163B PUNGGOL CENTRAL SINGAPORE 822163,163B,PUNGGOL CENTRAL,NIL,163B PUNGGOL CENTRAL SINGAPORE 822163
821165,1.394998966,103.9147543,165A PUNGGOL CENTRAL SINGAPORE 821165,165A,PUNGGOL CENTRAL,NIL,165A PUNGGOL CENTRAL SINGAPORE 821165
822165,1.395128032,103.9144671,165B PUNGGOL CENTRAL SINGAPORE 822165,165B,PUNGGOL CENTRAL,NIL,165B PUNGGOL CENTRAL SINGAPORE 822165
821166,1.394448669,103.9155224,166A PUNGGOL CENTRAL SINGAPORE 821166,166A,PUNGGOL CENTRAL,NIL,166A PUNGGOL CENTRAL SINGAPORE 821166
822166,1.394578126,103.915235,166B PUNGGOL CENTRAL SINGAPORE 822166,166B,PUNGGOL CENTRAL,NIL,166B PUNGGOL CENTRAL SINGAPORE 822166
821167,1.393908248,103.9151069,THE SUNDIAL,167A,PUNGGOL EAST,THE SUNDIAL,167A PUNGGOL EAST THE SUNDIAL SINGAPORE 821167
822167,1.394227136,103.9149774,THE SUNDIAL,167B,PUNGGOL EAST,THE SUNDIAL,167B PUNGGOL EAST THE SUNDIAL SINGAPORE 822167
823167,1.394388962,103.9147524,THE SUNDIAL,167C,PUNGGOL EAST,THE SUNDIAL,167C PUNGGOL EAST THE SUNDIAL SINGAPORE 823167
824167,1.394548399,103.9145293,THE SUNDIAL,167D,PUNGGOL EAST,THE SUNDIAL,167D PUNGGOL EAST THE SUNDIAL SINGAPORE 824167
821168,1.394589169,103.9142388,THE SUNDIAL,168A,PUNGGOL EAST,THE SUNDIAL,168A PUNGGOL EAST THE SUNDIAL SINGAPORE 821168
822168,1.394496029,103.913979,THE SUNDIAL,168B,PUNGGOL EAST,THE SUNDIAL,168B PUNGGOL EAST THE SUNDIAL SINGAPORE 822168
823168,1.393903151,103.9137768,THE NAUTILUS @ PUNGGOL,168C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,168C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823168
824168,1.393746768,103.9140016,THE NAUTILUS @ PUNGGOL,168D,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,168D PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 824168
821169,1.393082747,103.9142822,THE NAUTILUS @ PUNGGOL,169A,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169A PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 821169
822169,1.393224665,103.9140677,THE NAUTILUS @ PUNGGOL,169B,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169B PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 822169
823169,1.393621092,103.9142236,THE NAUTILUS @ PUNGGOL,169C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,169C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823169
821170,1.393560948,103.9148607,THE NAUTILUS @ PUNGGOL,170A,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170A PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 821170
822170,1.393337746,103.9147009,THE NAUTILUS @ PUNGGOL,170B,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170B PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 822170
823170,1.393107842,103.9145464,THE NAUTILUS @ PUNGGOL,170C,PUNGGOL FIELD,THE NAUTILUS @ PUNGGOL,170C PUNGGOL FIELD THE NAUTILUS @ PUNGGOL SINGAPORE 823170
821171,1.394630782,103.9122939,HDB-PUNGGOL,171A,EDGEDALE PLAINS,HDB-PUNGGOL,171A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821171
822171,1.394977318,103.9127175,HDB-PUNGGOL,171B,EDGEDALE PLAINS,HDB-PUNGGOL,171B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822171
823171,1.394775289,103.9134368,HDB-PUNGGOL,171C,EDGEDALE PLAINS,HDB-PUNGGOL,171C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823171
821172,1.39533468,103.9114339,172A EDGEDALE PLAINS SINGAPORE 821172,172A,EDGEDALE PLAINS,NIL,172A EDGEDALE PLAINS SINGAPORE 821172
822172,1.395724021,103.9118054,172B EDGEDALE PLAINS SINGAPORE 822172,172B,EDGEDALE PLAINS,NIL,172B EDGEDALE PLAINS SINGAPORE 822172
823172,1.395444577,103.9124654,172C EDGEDALE PLAINS SINGAPORE 823172,172C,EDGEDALE PLAINS,NIL,172C EDGEDALE PLAINS SINGAPORE 823172
821173,1.397013086,103.9093541,HDB-PUNGGOL,173A,PUNGGOL FIELD,HDB-PUNGGOL,173A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821173
822173,1.396550267,103.910063,HDB-PUNGGOL,173B,PUNGGOL FIELD,HDB-PUNGGOL,173B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822173
823173,1.396185406,103.9105619,HDB-PUNGGOL,173C,PUNGGOL FIELD,HDB-PUNGGOL,173C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823173
824173,1.396007992,103.9107647,HDB-PUNGGOL,173D,PUNGGOL FIELD,HDB-PUNGGOL,173D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824173
821174,1.39637824,103.9112808,HDB-PUNGGOL,174A,EDGEDALE PLAINS,HDB-PUNGGOL,174A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821174
822174,1.396731877,103.9108129,HDB-PUNGGOL,174B,EDGEDALE PLAINS,HDB-PUNGGOL,174B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822174
823174,1.396973051,103.9104245,HDB-PUNGGOL,174C,EDGEDALE PLAINS,HDB-PUNGGOL,174C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823174
824174,1.397359333,103.9101188,HDB-PUNGGOL,174D,EDGEDALE PLAINS,HDB-PUNGGOL,174D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824174
821175,1.397404216,103.9089737,HDB-PUNGGOL,175A,PUNGGOL FIELD,HDB-PUNGGOL,175A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821175
822175,1.397770531,103.9086476,HDB-PUNGGOL,175B,PUNGGOL FIELD,HDB-PUNGGOL,175B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822175
823175,1.398134688,103.9081481,HDB-PUNGGOL,175C,PUNGGOL FIELD,HDB-PUNGGOL,175C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823175
824175,1.398470605,103.9077693,HDB-PUNGGOL,175D,PUNGGOL FIELD,HDB-PUNGGOL,175D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824175
821176,1.398860781,103.9082666,176A EDGEFIELD PLAINS SINGAPORE 821176,176A,EDGEFIELD PLAINS,NIL,176A EDGEFIELD PLAINS SINGAPORE 821176
822176,1.398557354,103.908509,176B EDGEFIELD PLAINS SINGAPORE 822176,176B,EDGEFIELD PLAINS,NIL,176B EDGEFIELD PLAINS SINGAPORE 822176
823176,1.398310553,103.9087837,176C EDGEFIELD PLAINS SINGAPORE 823176,176C,EDGEFIELD PLAINS,NIL,176C EDGEFIELD PLAINS SINGAPORE 823176
824176,1.397942406,103.9094482,176D EDGEFIELD PLAINS SINGAPORE 824176,176D,EDGEFIELD PLAINS,NIL,176D EDGEFIELD PLAINS SINGAPORE 824176
820178,1.399406544,103.908431,178 EDGEFIELD PLAINS SINGAPORE 820178,178,EDGEFIELD PLAINS,NIL,178 EDGEFIELD PLAINS SINGAPORE 820178
820181,1.399144305,103.9089833,181 EDGEFIELD PLAINS SINGAPORE 820181,181,EDGEFIELD PLAINS,NIL,181 EDGEFIELD PLAINS SINGAPORE 820181
820182,1.398921796,103.9093113,182 EDGEFIELD PLAINS SINGAPORE 820182,182,EDGEFIELD PLAINS,NIL,182 EDGEFIELD PLAINS SINGAPORE 820182
820183,1.398810031,103.9098456,183 EDGEFIELD PLAINS SINGAPORE 820183,183,EDGEFIELD PLAINS,NIL,183 EDGEFIELD PLAINS SINGAPORE 820183
820184,1.398515832,103.9101406,184 EDGEFIELD PLAINS SINGAPORE 820184,184,EDGEFIELD PLAINS,NIL,184 EDGEFIELD PLAINS SINGAPORE 820184
820185,1.398068147,103.9101669,185 EDGEFIELD PLAINS SINGAPORE 820185,185,EDGEFIELD PLAINS,NIL,185 EDGEFIELD PLAINS SINGAPORE 820185
820186,1.398563328,103.9111,HDB-PUNGGOL,186,PUNGGOL CENTRAL,HDB-PUNGGOL,186 PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 820186
820187,1.398752034,103.9108807,HDB-PUNGGOL,187,PUNGGOL CENTRAL,HDB-PUNGGOL,187 PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 820187
820188,1.398938692,103.9105385,188 PUNGGOL CENTRAL SINGAPORE 820188,188,PUNGGOL CENTRAL,NIL,188 PUNGGOL CENTRAL SINGAPORE 820188
820190,1.39924142,103.9100543,190 PUNGGOL CENTRAL SINGAPORE 820190,190,PUNGGOL CENTRAL,NIL,190 PUNGGOL CENTRAL SINGAPORE 820190
820191,1.399512505,103.9097527,HDB-PUNGGOL,191,PUNGGOL CENTRAL,HDB-PUNGGOL,191 PUNGGOL CENTRAL HDB-PUNGGOL SINGAPORE 820191
820192,1.399770926,103.9095143,192 PUNGGOL CENTRAL SINGAPORE 820192,192,PUNGGOL CENTRAL,NIL,192 PUNGGOL CENTRAL SINGAPORE 820192
820193,1.399967929,103.909013,193 EDGEFIELD PLAINS SINGAPORE 820193,193,EDGEFIELD PLAINS,NIL,193 EDGEFIELD PLAINS SINGAPORE 820193
821195,1.401386916,103.9060812,THE PERIWINKLE,195A,PUNGGOL ROAD,THE PERIWINKLE,195A PUNGGOL ROAD THE PERIWINKLE SINGAPORE 821195
822195,1.401372012,103.9064857,THE PERIWINKLE,195B,PUNGGOL ROAD,THE PERIWINKLE,195B PUNGGOL ROAD THE PERIWINKLE SINGAPORE 822195
823195,1.401092071,103.9068312,THE PERIWINKLE,195C,PUNGGOL ROAD,THE PERIWINKLE,195C PUNGGOL ROAD THE PERIWINKLE SINGAPORE 823195
824195,1.401367945,103.907096,THE PERIWINKLE,195D,PUNGGOL ROAD,THE PERIWINKLE,195D PUNGGOL ROAD THE PERIWINKLE SINGAPORE 824195
825195,1.401717992,103.9071773,THE PERIWINKLE,195E,PUNGGOL ROAD,THE PERIWINKLE,195E PUNGGOL ROAD THE PERIWINKLE SINGAPORE 825195
821196,1.399203942,103.9067408,HDB-PUNGGOL,196A,PUNGGOL FIELD,HDB-PUNGGOL,196A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821196
822196,1.399007111,103.9069906,HDB-PUNGGOL,196B,PUNGGOL FIELD,HDB-PUNGGOL,196B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822196
823196,1.399279585,103.9074976,HDB-PUNGGOL,196C,PUNGGOL FIELD,HDB-PUNGGOL,196C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823196
824196,1.399660814,103.9072345,HDB-PUNGGOL,196D,PUNGGOL FIELD,HDB-PUNGGOL,196D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824196
821197,1.399774254,103.9068498,HDB-PUNGGOL,197A,PUNGGOL FIELD,HDB-PUNGGOL,197A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821197
822197,1.400131511,103.9066476,HDB-PUNGGOL,197B,PUNGGOL FIELD,HDB-PUNGGOL,197B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822197
821199,1.399772996,103.9060012,HDB-PUNGGOL,199A,PUNGGOL FIELD,HDB-PUNGGOL,199A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821199
822199,1.39996998,103.9057512,HDB-PUNGGOL,199B,PUNGGOL FIELD,HDB-PUNGGOL,199B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822199
823199,1.400647082,103.9060066,HDB-PUNGGOL,199C,PUNGGOL FIELD,HDB-PUNGGOL,199C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823199
824199,1.400455442,103.9062079,HDB-PUNGGOL,199D,PUNGGOL FIELD,HDB-PUNGGOL,199D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824199
821201,1.400085464,103.9035356,201A PUNGGOL FIELD SINGAPORE 821201,201A,PUNGGOL FIELD,NIL,201A PUNGGOL FIELD SINGAPORE 821201
822201,1.399978043,103.9038532,201B PUNGGOL FIELD SINGAPORE 822201,201B,PUNGGOL FIELD,NIL,201B PUNGGOL FIELD SINGAPORE 822201
823201,1.399331482,103.903712,201C PUNGGOL FIELD SINGAPORE 823201,201C,PUNGGOL FIELD,NIL,201C PUNGGOL FIELD SINGAPORE 823201
824201,1.399684321,103.9033781,201D PUNGGOL FIELD SINGAPORE 824201,201D,PUNGGOL FIELD,NIL,201D PUNGGOL FIELD SINGAPORE 824201
821202,1.399664223,103.9044956,202A PUNGGOL FIELD SINGAPORE 821202,202A,PUNGGOL FIELD,NIL,202A PUNGGOL FIELD SINGAPORE 821202
822202,1.399234781,103.9042775,202B PUNGGOL FIELD SINGAPORE 822202,202B,PUNGGOL FIELD,NIL,202B PUNGGOL FIELD SINGAPORE 822202
821203,1.398524282,103.9038627,203A PUNGGOL FIELD SINGAPORE 821203,203A,PUNGGOL FIELD,NIL,203A PUNGGOL FIELD SINGAPORE 821203
822203,1.398048415,103.9034765,203B PUNGGOL FIELD SINGAPORE 822203,203B,PUNGGOL FIELD,NIL,203B PUNGGOL FIELD SINGAPORE 822203
821204,1.398778276,103.9029109,204A PUNGGOL FIELD SINGAPORE 821204,204A,PUNGGOL FIELD,NIL,204A PUNGGOL FIELD SINGAPORE 821204
822204,1.398682245,103.9032111,204B PUNGGOL FIELD SINGAPORE 822204,204B,PUNGGOL FIELD,NIL,204B PUNGGOL FIELD SINGAPORE 822204
823204,1.398033215,103.9030726,204C PUNGGOL FIELD SINGAPORE 823204,204C,PUNGGOL FIELD,NIL,204C PUNGGOL FIELD SINGAPORE 823204
824204,1.398311222,103.9025511,204D PUNGGOL FIELD SINGAPORE 824204,204D,PUNGGOL FIELD,NIL,204D PUNGGOL FIELD SINGAPORE 824204
821205,1.39852262,103.9021117,205A PUNGGOL FIELD SINGAPORE 821205,205A,PUNGGOL FIELD,NIL,205A PUNGGOL FIELD SINGAPORE 821205
821206,1.39922536,103.901496,206A PUNGGOL PLACE SINGAPORE 821206,206A,PUNGGOL PLACE,NIL,206A PUNGGOL PLACE SINGAPORE 821206
821207,1.400286679,103.9010124,PUNGGOL SAILS,207A,PUNGGOL PLACE,PUNGGOL SAILS,207A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821207
822207,1.400325589,103.9007353,PUNGGOL SAILS,207B,PUNGGOL PLACE,PUNGGOL SAILS,207B PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 822207
823207,1.400653675,103.9003487,PUNGGOL SAILS,207C,PUNGGOL PLACE,PUNGGOL SAILS,207C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823207
824207,1.400946529,103.9007084,PUNGGOL SAILS,207D,PUNGGOL PLACE,PUNGGOL SAILS,207D PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 824207
821208,1.401463246,103.9007611,PUNGGOL SAILS,208A,PUNGGOL PLACE,PUNGGOL SAILS,208A PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 821208
822208,1.401361543,103.9011272,PUNGGOL SAILS,208B,PUNGGOL PLACE,PUNGGOL SAILS,208B PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 822208
823208,1.400941197,103.9011446,PUNGGOL SAILS,208C,PUNGGOL PLACE,PUNGGOL SAILS,208C PUNGGOL PLACE PUNGGOL SAILS SINGAPORE 823208
